ID,Category,Price,Timestamp
48,Home,489.37,2024-03-27 08:06:55
49,Toys,330.26,2024-06-07 08:06:55
50,Toys,28.03,2024-08-05 08:06:55
51,Electronics,332.65,2024-09-21 08:06:55
52,Home,237.92,2024-08-07 08:06:55
53,Books,328.24,2024-11-27 08:06:55
54,Books,58.4,2024-10-16 08:06:55
55,Toys,190.71,2024-08-30 08:06:55
56,Books,342.9,2024-04-11 08:06:55
57,Home,231.0,2024-11-15 08:06:55
58,Electronics,444.01,2024-08-22 08:06:55
59,Books,456.88,2024-12-06 08:06:55
60,Books,382.07,2024-10-28 08:06:55
61,Electronics,223.32,2024-10-17 08:06:55
62,Home,455.14,2024-03-29 08:06:55
63,Home,178.55,2024-10-01 08:06:55
64,Electronics,466.4,2024-04-23 08:06:55
65,Home,317.21,2025-02-22 08:06:55
66,Clothing,148.61,2024-09-06 08:06:55
67,Toys,112.82,2024-04-02 08:06:55
68,Toys,263.63,2024-06-21 08:06:55
69,Books,371.34,2024-07-06 08:06:55
70,Toys,477.77,2024-11-13 08:06:55
71,Toys,6.87,2025-01-28 08:06:55
72,Electronics,200.4,2024-06-01 08:06:55
73,Clothing,228.47,2024-07-10 08:06:55
74,Electronics,445.9,2024-11-30 08:06:55
75,Clothing,159.87,2024-04-28 08:06:55
76,Home,175.28,2024-06-23 08:06:55
77,Clothing,68.87,2025-02-03 08:06:55
78,Toys,236.66,2025-01-02 08:06:55
79,Electronics,22.84,2024-04-02 08:06:55
80,Toys,108.15,2024-08-16 08:06:55
81,Clothing,142.57,2025-01-07 08:06:55
82,Electronics,434.57,2024-11-22 08:06:55
83,Clothing,254.91,2024-05-03 08:06:55
84,Home,292.37,2024-08-12 08:06:55
85,Clothing,255.51,2025-03-06 08:06:55
86,Toys,174.07,2025-03-11 08:06:55
87,Electronics,405.12,2025-01-22 08:06:55
88,Toys,197.7,2025-03-26 08:06:55
89,Books,111.49,2024-07-07 08:06:55
90,Clothing,12.14,2024-04-23 08:06:55
91,Books,95.09,2025-01-10 08:06:55
92,Home,176.69,2024-07-16 08:06:55
93,Books,347.52,2024-07-10 08:06:55
94,Electronics,32.26,2024-11-24 08:06:55
95,Electronics,346.33,2024-12-21 08:06:55
96,Toys,398.75,2025-03-24 08:06:55
97,Home,380.74,2025-01-02 08:06:55
98,Electronics,12.95,2024-07-31 08:06:55
99,Books,424.28,2024-11-08 08:06:55
100,Home,48.54,2024-05-08 08:06:55
101,Toys,319.56,2024-07-18 08:06:55
102,Electronics,309.69,2025-02-05 08:06:55
103,Electronics,265.36,2024-09-25 08:06:55
104,Clothing,475.83,2024-06-24 08:06:55
105,Books,224.39,2024-04-18 08:06:55
106,Clothing,464.17,2025-01-07 08:06:55
107,Books,392.28,2024-11-22 08:06:55
108,Clothing,307.12,2024-11-19 08:06:55
109,Toys,354.01,2024-12-30 08:06:55
110,Electronics,419.7,2024-08-11 08:06:55
111,Books,180.78,2024-05-04 08:06:55
112,Books,316.61,2024-08-24 08:06:55
113,Clothing,371.52,2024-05-23 08:06:55
114,Clothing,302.22,2024-03-30 08:06:55
115,Toys,423.36,2024-10-17 08:06:55
116,Books,163.96,2024-08-28 08:06:55
117,Electronics,148.09,2024-06-01 08:06:55
118,Clothing,174.54,2024-09-24 08:06:55
119,Clothing,381.48,2025-01-22 08:06:55
120,Toys,252.63,2024-04-03 08:06:55
121,Books,62.75,2024-10-31 08:06:55
122,Electronics,321.59,2024-06-24 08:06:55
123,Clothing,467.08,2025-03-12 08:06:55
124,Electronics,297.59,2024-11-14 08:06:55
125,Clothing,485.51,2024-11-15 08:06:55
126,Clothing,335.15,2024-12-25 08:06:55
127,Home,267.76,2025-02-22 08:06:55
128,Books,200.91,2024-10-20 08:06:55
129,Books,80.94,2024-08-18 08:06:55
130,Home,467.0,2025-02-02 08:06:55
131,Books,187.4,2025-02-25 08:06:55
132,Home,127.86,2024-11-03 08:06:55
133,Clothing,231.26,2024-06-06 08:06:55
134,Electronics,466.22,2025-01-18 08:06:55
135,Books,467.75,2024-04-21 08:06:55
136,Toys,258.24,2024-05-26 08:06:55
137,Clothing,117.62,2025-01-17 08:06:55
138,Home,70.5,2024-08-15 08:06:55
139,Electronics,202.69,2024-08-21 08:06:55
140,Home,343.93,2024-07-16 08:06:55
141,Books,216.36,2024-12-16 08:06:55
142,Clothing,457.08,2024-07-22 08:06:55
143,Home,13.6,2024-04-05 08:06:55
144,Home,395.66,2024-12-27 08:06:55
145,Books,393.8,2024-06-05 08:06:55
146,Books,40.54,2024-09-03 08:06:55
147,Books,150.89,2024-08-25 08:06:55
148,Clothing,218.84,2024-04-11 08:06:55
149,Clothing,270.91,2024-09-29 08:06:55
150,Home,124.8,2025-01-07 08:06:55
151,Books,9.98,2024-04-27 08:06:55
152,Books,322.9,2024-04-26 08:06:55
153,Clothing,80.51,2025-03-04 08:06:55
154,Toys,185.04,2024-08-05 08:06:55
155,Home,53.48,2025-03-09 08:06:55
156,Electronics,484.32,2025-03-18 08:06:55
157,Toys,41.06,2024-07-18 08:06:55
158,Books,310.62,2025-02-23 08:06:55
159,Toys,351.29,2024-12-23 08:06:55
160,Clothing,120.22,2024-07-23 08:06:55
161,Clothing,495.06,2024-04-01 08:06:55
162,Books,328.13,2025-03-22 08:06:55
163,Toys,266.62,2024-09-26 08:06:55
164,Home,186.11,2024-07-09 08:06:55
165,Home,93.1,2025-01-07 08:06:55
166,Electronics,28.47,2024-05-04 08:06:55
167,Electronics,388.83,2025-01-14 08:06:55
168,Books,72.81,2024-06-11 08:06:55
169,Books,299.44,2024-07-09 08:06:55
170,Clothing,71.58,2024-04-15 08:06:55
171,Home,227.47,2024-05-22 08:06:55
172,Clothing,48.83,2024-09-15 08:06:55
173,Clothing,108.16,2024-11-07 08:06:55
174,Electronics,271.74,2024-06-09 08:06:55
175,Books,215.53,2024-06-15 08:06:55
176,Electronics,224.98,2025-03-12 08:06:55
177,Books,171.31,2025-02-06 08:06:55
178,Electronics,191.28,2025-03-12 08:06:55
179,Electronics,339.02,2024-07-31 08:06:55
180,Toys,46.7,2024-11-14 08:06:55
181,Home,336.28,2024-10-25 08:06:55
182,Books,445.12,2024-05-09 08:06:55
183,Electronics,326.83,2025-01-04 08:06:55
184,Books,427.76,2024-07-06 08:06:55
185,Toys,318.25,2024-07-20 08:06:55
186,Clothing,328.67,2024-08-30 08:06:55
187,Books,497.25,2024-08-28 08:06:55
188,Electronics,439.18,2025-02-02 08:06:55
189,Home,409.45,2025-01-15 08:06:55
190,Electronics,267.99,2024-07-10 08:06:55
191,Home,314.97,2024-08-23 08:06:55
192,Electronics,367.95,2024-05-07 08:06:55
193,Books,410.59,2024-05-27 08:06:55
194,Books,214.56,2024-04-24 08:06:55
195,Toys,63.92,2024-04-19 08:06:55
196,Electronics,206.21,2024-05-11 08:06:55
197,Electronics,169.3,2025-01-08 08:06:55
198,Home,185.72,2024-04-09 08:06:55
199,Clothing,99.26,2024-07-23 08:06:55
200,Books,52.3,2025-01-23 08:06:55
201,Toys,194.5,2024-10-01 08:06:55
202,Books,103.05,2024-09-09 08:06:55
203,Books,114.49,2025-01-28 08:06:55
204,Books,19.36,2024-12-03 08:06:55
205,Books,127.15,2024-07-05 08:06:55
206,Clothing,200.09,2024-11-08 08:06:55
207,Home,397.7,2025-02-16 08:06:55
208,Clothing,283.22,2024-06-13 08:06:55
209,Clothing,345.54,2024-12-15 08:06:55
210,Clothing,379.86,2024-11-23 08:06:55
211,Clothing,58.78,2024-07-19 08:06:55
212,Electronics,162.62,2024-08-05 08:06:55
213,Books,309.83,2024-05-11 08:06:55
214,Books,235.72,2024-04-27 08:06:55
215,Toys,96.08,2025-01-18 08:06:55
216,Toys,59.62,2025-03-21 08:06:55
217,Clothing,398.97,2024-10-05 08:06:55
218,Toys,379.65,2024-08-21 08:06:55
219,Clothing,164.11,2025-02-26 08:06:55
220,Electronics,112.72,2024-08-31 08:06:55
221,Clothing,431.49,2024-10-30 08:06:55
222,Clothing,305.14,2024-11-30 08:06:55
223,Electronics,26.26,2024-08-31 08:06:55
224,Home,143.77,2025-02-10 08:06:55
225,Clothing,374.01,2025-01-08 08:06:55
226,Books,146.79,2024-07-06 08:06:55
227,Toys,175.48,2025-02-17 08:06:55
228,Toys,459.33,2024-06-16 08:06:55
229,Home,27.84,2025-01-29 08:06:55
230,Clothing,429.66,2024-12-09 08:06:55
231,Books,86.35,2024-11-26 08:06:55
232,Home,222.19,2025-03-16 08:06:55
233,Clothing,282.93,2024-08-08 08:06:55
234,Home,324.57,2024-09-16 08:06:55
235,Books,28.07,2024-07-10 08:06:55
236,Home,477.94,2024-06-23 08:06:55
237,Toys,269.03,2025-01-25 08:06:55
238,Electronics,372.56,2024-11-06 08:06:55
239,Toys,460.86,2024-10-14 08:06:55
240,Home,314.05,2024-08-25 08:06:55
241,Toys,46.51,2024-04-13 08:06:55
242,Electronics,160.97,2024-05-06 08:06:55
243,Books,22.27,2024-05-25 08:06:55
244,Books,43.49,2024-04-26 08:06:55
245,Home,94.0,2024-08-15 08:06:55
246,Books,445.51,2025-01-04 08:06:55
247,Home,163.93,2024-07-18 08:06:55
248,Toys,225.51,2024-12-16 08:06:55
249,Home,157.84,2024-10-27 08:06:55
250,Toys,107.84,2024-08-19 08:06:55
251,Clothing,486.64,2025-01-06 08:06:55
252,Toys,34.81,2024-11-26 08:06:55
253,Toys,193.42,2024-07-01 08:06:55
254,Books,105.49,2025-03-08 08:06:55
255,Clothing,371.98,2025-02-09 08:06:55
256,Home,47.68,2024-08-31 08:06:55
257,Electronics,37.8,2024-06-30 08:06:55
258,Toys,183.23,2024-12-27 08:06:55
259,Clothing,334.41,2024-04-01 08:06:55
260,Home,414.34,2024-05-21 08:06:55
261,Books,13.66,2024-09-08 08:06:55
262,Electronics,60.26,2024-07-08 08:06:55
263,Toys,257.31,2024-05-15 08:06:55
264,Toys,83.36,2024-07-09 08:06:55
265,Books,156.64,2024-11-06 08:06:55
266,Books,457.47,2025-01-15 08:06:55
267,Home,155.1,2024-08-05 08:06:55
268,Toys,123.7,2024-11-08 08:06:55
269,Clothing,198.63,2024-04-06 08:06:55
270,Home,405.92,2025-03-01 08:06:55
271,Home,151.34,2024-04-13 08:06:55
272,Toys,105.15,2025-01-13 08:06:55
273,Clothing,31.94,2024-07-21 08:06:55
274,Home,65.71,2024-08-15 08:06:55
275,Clothing,137.4,2024-05-19 08:06:55
276,Home,167.95,2024-12-20 08:06:55
277,Home,69.93,2025-01-05 08:06:55
278,Toys,353.68,2024-07-19 08:06:55
279,Electronics,152.74,2024-10-04 08:06:55
280,Home,270.26,2024-07-01 08:06:55
281,Home,98.39,2024-12-09 08:06:55
282,Clothing,199.2,2024-11-04 08:06:55
283,Books,260.57,2024-08-19 08:06:55
284,Electronics,326.6,2024-10-12 08:06:55
285,Toys,398.75,2024-06-09 08:06:55
286,Electronics,132.87,2024-11-27 08:06:55
287,Books,163.99,2024-07-08 08:06:55
288,Home,255.35,2024-12-06 08:06:55
289,Clothing,266.22,2024-06-07 08:06:55
290,Home,32.05,2024-12-04 08:06:55
291,Electronics,324.21,2024-10-31 08:06:55
292,Clothing,322.84,2024-11-12 08:06:55
293,Clothing,160.36,2024-08-21 08:06:55
294,Toys,373.56,2024-05-15 08:06:55
295,Toys,370.81,2024-09-11 08:06:55
296,Electronics,179.59,2024-06-28 08:06:55
297,Electronics,437.27,2024-03-27 08:06:55
298,Clothing,481.91,2024-12-31 08:06:55
299,Electronics,437.26,2025-02-24 08:06:55
300,Books,68.0,2024-08-20 08:06:55
301,Home,85.03,2024-11-19 08:06:55
302,Home,407.74,2025-02-10 08:06:55
303,Books,88.35,2025-02-12 08:06:55
304,Books,88.91,2024-12-23 08:06:55
305,Toys,333.72,2025-01-23 08:06:55
306,Home,144.55,2024-08-15 08:06:55
307,Electronics,435.43,2025-02-27 08:06:55
308,Electronics,310.31,2024-10-03 08:06:55
309,Electronics,132.13,2024-06-29 08:06:55
310,Toys,423.69,2025-03-04 08:06:55
311,Toys,90.67,2024-11-13 08:06:55
312,Home,15.63,2024-11-04 08:06:55
313,Clothing,87.18,2025-01-18 08:06:55
314,Home,118.37,2024-05-07 08:06:55
315,Clothing,199.43,2024-08-20 08:06:55
316,Books,41.33,2024-05-16 08:06:55
317,Books,317.62,2024-09-29 08:06:55
318,Electronics,403.41,2024-09-11 08:06:55
319,Home,411.46,2025-02-20 08:06:55
320,Books,366.39,2024-11-08 08:06:55
321,Home,314.28,2024-11-11 08:06:55
322,Books,413.12,2025-01-27 08:06:55
323,Books,52.27,2024-09-15 08:06:55
324,Books,343.52,2024-06-28 08:06:55
325,Clothing,482.71,2024-11-29 08:06:55
326,Electronics,74.7,2024-08-29 08:06:55
327,Books,266.28,2024-08-27 08:06:55
328,Clothing,143.87,2024-12-04 08:06:55
329,Clothing,94.21,2025-03-15 08:06:55
330,Books,390.01,2024-07-17 08:06:55
331,Electronics,380.72,2024-08-03 08:06:55
332,Books,319.19,2025-02-28 08:06:55
333,Toys,49.21,2024-11-03 08:06:55
334,Books,442.36,2024-11-25 08:06:55
335,Toys,414.7,2024-11-01 08:06:55
336,Toys,46.86,2024-06-09 08:06:55
337,Electronics,113.71,2025-03-05 08:06:55
338,Electronics,443.04,2024-06-27 08:06:55
339,Books,65.17,2024-06-07 08:06:55
340,Toys,246.18,2025-03-08 08:06:55
341,Electronics,492.31,2025-02-19 08:06:55
342,Electronics,461.44,2025-01-07 08:06:55
343,Clothing,185.73,2024-12-11 08:06:55
344,Toys,300.0,2025-02-09 08:06:55
345,Toys,428.24,2024-06-14 08:06:55
346,Toys,346.8,2025-01-31 08:06:55
347,Books,301.15,2024-10-24 08:06:55
348,Books,87.78,2024-09-14 08:06:55
349,Toys,307.18,2024-10-19 08:06:55
350,Clothing,200.75,2024-08-04 08:06:55
351,Electronics,211.3,2024-07-19 08:06:55
352,Clothing,337.36,2024-06-06 08:06:55
353,Electronics,481.26,2024-10-07 08:06:55
354,Home,324.56,2024-08-24 08:06:55
355,Clothing,338.15,2025-03-21 08:06:55
356,Clothing,169.49,2024-08-18 08:06:55
357,Toys,247.01,2025-02-13 08:06:55
358,Electronics,262.08,2024-08-04 08:06:55
359,Home,412.44,2024-04-09 08:06:55
360,Clothing,79.96,2025-02-17 08:06:55
361,Clothing,82.05,2024-12-20 08:06:55
362,Electronics,324.19,2024-05-01 08:06:55
363,Clothing,387.54,2024-10-10 08:06:55
364,Electronics,499.39,2025-02-14 08:06:55
365,Toys,115.29,2024-10-08 08:06:55
366,Home,334.45,2024-12-19 08:06:55
367,Clothing,168.59,2024-04-28 08:06:55
368,Books,381.21,2024-08-24 08:06:55
369,Clothing,289.77,2024-05-01 08:06:55
370,Books,453.09,2024-12-18 08:06:55
371,Books,15.79,2024-09-17 08:06:55
372,Toys,25.35,2024-10-31 08:06:55
373,Toys,12.54,2025-01-11 08:06:55
374,Electronics,269.35,2025-02-05 08:06:55
375,Toys,141.9,2024-05-26 08:06:55
376,Toys,295.25,2024-12-30 08:06:55
377,Electronics,38.82,2025-03-17 08:06:55
378,Toys,123.34,2024-06-30 08:06:55
379,Toys,275.09,2024-09-09 08:06:55
380,Electronics,340.99,2024-10-05 08:06:55
381,Electronics,143.29,2025-02-06 08:06:55
382,Home,168.62,2025-02-08 08:06:55
383,Books,397.13,2024-06-19 08:06:55
384,Home,164.8,2024-09-11 08:06:55
385,Books,48.83,2024-12-24 08:06:55
386,Home,175.84,2024-10-03 08:06:55
387,Home,207.07,2025-01-17 08:06:55
388,Home,364.62,2024-08-14 08:06:55
389,Clothing,336.95,2024-07-03 08:06:55
390,Clothing,220.35,2024-12-11 08:06:55
391,Toys,459.09,2024-10-20 08:06:55
392,Books,140.06,2025-02-14 08:06:55
393,Clothing,424.7,2024-11-17 08:06:55
394,Home,312.44,2024-06-05 08:06:55
395,Toys,481.57,2024-11-25 08:06:55
396,Clothing,496.51,2024-04-22 08:06:55
397,Clothing,250.84,2024-03-29 08:06:55
398,Electronics,190.0,2025-02-12 08:06:55
399,Books,77.24,2024-06-13 08:06:55
400,Clothing,149.37,2024-04-03 08:06:55
401,Toys,365.66,2024-03-31 08:06:55
402,Books,272.39,2024-08-01 08:06:55
403,Home,275.21,2024-07-24 08:06:55
404,Books,251.58,2024-10-09 08:06:55
405,Home,150.91,2024-11-26 08:06:55
406,Books,482.27,2024-08-02 08:06:55
407,Home,21.5,2024-08-06 08:06:55
408,Home,199.89,2024-11-28 08:06:55
409,Clothing,132.31,2025-02-02 08:06:55
410,Clothing,498.03,2024-09-20 08:06:55
411,Books,289.92,2024-09-28 08:06:55
412,Toys,46.41,2024-05-28 08:06:55
413,Electronics,351.01,2025-03-21 08:06:55
414,Toys,492.1,2024-06-14 08:06:55
415,Electronics,414.87,2024-12-25 08:06:55
416,Books,80.73,2024-05-15 08:06:55
417,Home,46.19,2025-02-05 08:06:55
418,Electronics,395.28,2025-02-03 08:06:55
419,Home,109.48,2024-10-04 08:06:55
420,Books,206.46,2024-05-22 08:06:55
421,Clothing,187.63,2024-06-07 08:06:55
422,Electronics,425.0,2024-05-22 08:06:55
423,Toys,88.52,2025-03-22 08:06:55
424,Home,163.71,2024-05-25 08:06:55
425,Books,477.77,2024-05-05 08:06:55
426,Electronics,42.12,2024-07-05 08:06:55
427,Home,376.72,2025-01-22 08:06:55
428,Electronics,78.29,2024-06-15 08:06:55
429,Toys,274.13,2025-02-06 08:06:55
430,Toys,74.33,2024-04-11 08:06:55
431,Books,486.06,2024-08-03 08:06:55
432,Electronics,179.54,2025-01-06 08:06:55
433,Home,176.22,2024-06-17 08:06:55
434,Toys,333.48,2025-03-24 08:06:55
435,Books,350.2,2024-09-02 08:06:55
436,Clothing,143.44,2025-01-05 08:06:55
437,Electronics,402.54,2024-05-19 08:06:55
438,Home,450.52,2024-07-09 08:06:55
439,Home,6.23,2024-08-28 08:06:55
440,Books,229.69,2025-01-16 08:06:55
441,Home,69.45,2024-07-02 08:06:55
442,Books,147.94,2024-08-24 08:06:55
443,Electronics,426.06,2024-04-03 08:06:55
444,Toys,365.9,2024-09-25 08:06:55
445,Clothing,106.66,2024-08-02 08:06:55
446,Home,201.31,2024-03-29 08:06:55
447,Books,62.82,2024-05-03 08:06:55
448,Clothing,37.51,2024-04-03 08:06:55
449,Electronics,136.13,2024-11-16 08:06:55
450,Clothing,306.65,2024-12-10 08:06:55
451,Clothing,164.3,2024-08-17 08:06:55
452,Home,124.76,2024-08-09 08:06:55
453,Toys,213.73,2024-06-04 08:06:55
454,Electronics,172.69,2025-02-23 08:06:55
455,Electronics,35.49,2024-12-22 08:06:55
456,Clothing,491.32,2024-08-24 08:06:55
457,Books,454.87,2025-03-22 08:06:55
458,Clothing,164.12,2024-11-15 08:06:55
459,Books,87.98,2024-08-07 08:06:55
460,Books,468.8,2024-06-24 08:06:55
461,Books,339.85,2024-11-23 08:06:55
462,Books,162.45,2025-02-17 08:06:55
463,Electronics,146.79,2025-02-01 08:06:55
464,Toys,31.58,2025-02-18 08:06:55
465,Toys,469.64,2024-08-27 08:06:55
466,Electronics,211.36,2024-05-08 08:06:55
467,Toys,375.27,2024-05-11 08:06:55
468,Home,165.01,2025-03-16 08:06:55
469,Clothing,182.69,2024-09-12 08:06:55
470,Electronics,330.94,2024-08-26 08:06:55
471,Electronics,225.52,2024-10-24 08:06:55
472,Home,138.72,2024-07-22 08:06:55
473,Home,95.63,2024-09-05 08:06:55
474,Home,123.53,2024-05-17 08:06:55
475,Books,206.39,2024-09-17 08:06:55
476,Toys,139.92,2025-02-18 08:06:55
477,Books,421.46,2024-12-29 08:06:55
478,Books,36.06,2024-10-10 08:06:55
479,Electronics,137.11,2025-02-02 08:06:55
480,Electronics,132.08,2024-05-04 08:06:55
481,Books,5.47,2024-10-20 08:06:55
482,Home,375.58,2025-01-19 08:06:55
483,Books,103.51,2025-01-10 08:06:55
484,Clothing,493.53,2024-06-30 08:06:55
485,Home,373.21,2024-08-11 08:06:55
486,Electronics,164.46,2024-05-29 08:06:55
487,Electronics,105.96,2024-09-20 08:06:55
488,Clothing,87.61,2024-06-14 08:06:55
489,Toys,239.31,2025-03-10 08:06:55
490,Electronics,463.22,2024-08-31 08:06:55
491,Books,86.59,2024-12-10 08:06:55
492,Electronics,364.63,2024-12-11 08:06:55
493,Books,14.1,2024-04-19 08:06:55
494,Toys,67.26,2024-09-13 08:06:55
495,Toys,272.75,2024-03-30 08:06:55
496,Books,224.49,2025-02-23 08:06:55
497,Books,256.9,2024-09-06 08:06:55
498,Electronics,154.07,2024-04-18 08:06:55
499,Electronics,82.48,2025-03-26 08:06:55
500,Toys,231.82,2025-03-05 08:06:55
501,Books,341.77,2024-10-30 08:06:55
502,Books,426.43,2024-12-22 08:06:55
503,Home,157.16,2024-05-09 08:06:55
504,Clothing,178.76,2024-04-26 08:06:55
505,Home,272.53,2024-10-31 08:06:55
506,Home,101.55,2024-07-14 08:06:55
507,Electronics,250.17,2024-12-07 08:06:55
508,Home,499.6,2024-05-26 08:06:55
509,Home,481.21,2025-02-07 08:06:55
510,Toys,256.24,2025-02-01 08:06:55
511,Home,335.84,2024-06-07 08:06:55
512,Home,165.93,2024-05-07 08:06:55
513,Clothing,360.64,2024-10-24 08:06:55
514,Home,122.63,2025-03-15 08:06:55
515,Clothing,218.57,2024-07-24 08:06:55
516,Toys,331.5,2024-11-14 08:06:55
517,Toys,393.7,2024-10-14 08:06:55
518,Electronics,115.07,2024-10-11 08:06:55
519,Books,358.07,2025-03-04 08:06:55
520,Books,413.78,2025-01-22 08:06:55
521,Electronics,286.43,2025-01-25 08:06:55
522,Electronics,393.83,2024-10-15 08:06:55
523,Electronics,70.28,2025-01-09 08:06:55
524,Books,188.64,2024-10-14 08:06:55
525,Clothing,299.64,2024-08-04 08:06:55
526,Toys,426.17,2025-02-03 08:06:55
527,Home,422.94,2024-09-19 08:06:55
528,Books,45.16,2024-05-29 08:06:55
529,Books,340.2,2024-12-06 08:06:55
530,Electronics,347.34,2024-06-18 08:06:55
531,Electronics,379.29,2025-01-03 08:06:55
532,Clothing,83.7,2024-12-04 08:06:55
533,Electronics,94.43,2024-12-29 08:06:55
534,Home,14.49,2024-12-16 08:06:55
535,Electronics,312.34,2024-05-24 08:06:55
536,Books,63.46,2024-12-30 08:06:55
537,Home,438.23,2024-04-04 08:06:55
538,Books,18.83,2024-09-24 08:06:55
539,Toys,257.41,2024-07-14 08:06:55
540,Books,419.15,2025-02-27 08:06:55
541,Toys,282.61,2024-10-07 08:06:55
542,Clothing,407.75,2024-06-15 08:06:55
543,Toys,170.81,2024-08-01 08:06:55
544,Electronics,114.9,2024-04-01 08:06:55
545,Electronics,454.6,2024-07-14 08:06:55
546,Books,113.57,2024-07-25 08:06:55
547,Clothing,352.72,2024-04-12 08:06:55
548,Books,47.34,2024-11-29 08:06:55
549,Electronics,228.92,2024-04-22 08:06:55
550,Clothing,157.94,2024-04-03 08:06:55
551,Toys,40.2,2024-08-24 08:06:55
552,Clothing,369.25,2025-01-27 08:06:55
553,Books,258.36,2025-01-10 08:06:55
554,Electronics,39.98,2025-01-28 08:06:55
555,Clothing,312.54,2024-03-26 08:06:55
556,Books,483.71,2025-01-13 08:06:55
557,Electronics,169.61,2024-10-16 08:06:55
558,Electronics,12.71,2025-03-24 08:06:55
559,Home,319.69,2025-03-10 08:06:55
560,Toys,156.47,2024-06-19 08:06:55
561,Clothing,197.43,2024-09-14 08:06:55
562,Toys,421.85,2024-05-14 08:06:55
563,Clothing,328.84,2024-12-05 08:06:55
564,Toys,174.79,2024-10-01 08:06:55
565,Electronics,118.4,2024-05-31 08:06:55
566,Books,53.66,2024-08-24 08:06:55
567,Electronics,215.6,2025-02-12 08:06:55
568,Toys,427.72,2025-01-29 08:06:55
569,Clothing,115.25,2024-07-15 08:06:55
570,Toys,140.49,2024-11-30 08:06:55
571,Toys,115.91,2024-06-24 08:06:55
572,Books,184.33,2024-08-24 08:06:55
573,Home,275.7,2024-11-25 08:06:55
574,Electronics,298.65,2024-12-25 08:06:55
575,Electronics,209.36,2024-09-13 08:06:55
576,Toys,300.8,2024-08-25 08:06:55
577,Toys,203.86,2025-01-24 08:06:55
578,Clothing,388.06,2024-10-25 08:06:55
579,Toys,401.6,2024-09-15 08:06:55
580,Books,398.23,2024-04-23 08:06:55
581,Books,295.81,2024-08-15 08:06:55
582,Home,413.69,2024-12-03 08:06:55
583,Clothing,478.39,2024-11-28 08:06:55
584,Toys,451.58,2024-06-11 08:06:55
585,Electronics,101.56,2024-07-30 08:06:55
586,Toys,14.62,2025-03-17 08:06:55
587,Home,287.58,2024-04-06 08:06:55
588,Clothing,130.76,2025-03-24 08:06:55
589,Clothing,178.23,2024-12-21 08:06:55
590,Books,446.79,2025-02-01 08:06:55
591,Toys,125.8,2024-09-27 08:06:55
592,Home,177.13,2024-07-15 08:06:55
593,Clothing,240.18,2024-08-11 08:06:55
594,Home,300.85,2024-07-01 08:06:55
595,Clothing,350.91,2024-04-05 08:06:55
596,Home,272.69,2024-11-20 08:06:55
597,Home,158.41,2024-08-19 08:06:55
598,Home,274.44,2024-05-20 08:06:55
599,Electronics,248.78,2024-06-30 08:06:55
600,Electronics,71.64,2025-01-23 08:06:55
601,Books,216.39,2025-03-13 08:06:55
602,Toys,420.81,2024-06-13 08:06:55
603,Home,19.55,2024-12-16 08:06:55
604,Clothing,272.27,2025-03-06 08:06:55
605,Electronics,60.79,2024-04-28 08:06:55
606,Clothing,481.73,2025-01-07 08:06:55
607,Electronics,260.99,2024-10-04 08:06:55
